Timestamp [HH;MM;SS], Xacc [m/s^2], Yacc [m/s^2], Zacc [m/s^2], Tvar [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
12;47;31, 0.000, 0.353, 10.163, 8.000, 0.0, 71, 250, 1321, 58, 20, 73, 14, 239
12;47;33, 0.903, -0.039, 10.830, 8.000, 0.0, 71, 250, 1244, 55, 20, 73, 13, 240
12;47;36, 1.413, -0.549, 9.771, 8.000, 0.0, 71, 250, 1176, 52, 20, 73, 12, 236
12;47;38, -0.942, 0.196, 10.359, 8.000, 51.0, 71, 250, 1144, 49, 20, 73, 13, 401
12;47;40, 0.549, 1.059, 9.261, 8.000, 0.0, 71, 250, 1124, 49, 20, 74, 11, 236
12;47;43, 0.118, -0.432, 10.399, 8.000, 27.0, 72, 250, 851, 42, 20, 74, 8, 237
12;47;45, -0.471, -0.157, 8.868, 7.000, 0.0, 72, 250, 859, 35, 20, 74, 13, 235
12;47;48, 0.510, -0.196, 8.358, 8.000, 0.0, 72, 250, 1191, 30, 20, 74, 11, 236
12;47;50, 1.059, 0.314, 10.556, 8.000, 0.0, 72, 250, 1025, 26, 20, 74, 11, 232
12;47;53, 0.785, 0.314, 8.790, 8.000, 23.0, 72, 250, 853, 23, 20, 74, 8, 235
12;47;55, 1.413, -1.334, 9.849, 6.000, 24.0, 72, 250, 849, 15, 20, 74, 8, 233
12;47;58, 0.785, 0.628, 10.163, 8.000, 24.0, 72, 250, 844, 11, 20, 74, 8, 236
12;48;00, 0.863, 0.314, 10.281, 8.000, 24.0, 72, 250, 846, 10, 20, 74, 7, 232
12;48;02, 0.706, 0.549, 9.221, 7.000, 24.0, 72, 250, 850, 7, 20, 74, 7, 234
12;48;05, 0.785, 0.235, 9.732, 7.000, 24.0, 72, 250, 850, 6, 20, 74, 8, 234
12;48;07, 0.981, 0.471, 10.438, 8.000, 43.0, 72, 250, 1122, 8, 20, 74, 15, 447
12;48;10, -0.039, 0.510, 9.888, 7.000, 24.0, 72, 250, 1639, 14, 21, 74, 19, 457
12;48;12, 1.844, -0.746, 11.890, 7.000, 8.0, 72, 250, 1719, 15, 21, 74, 17, 356
12;48;15, 0.667, 0.432, 10.006, 8.000, 26.0, 72, 250, 1698, 14, 21, 74, 21, 581
12;48;17, 0.314, 0.942, 10.359, 8.000, 27.0, 72, 250, 859, 16, 21, 74, 8, 239
12;48;19, 0.981, 0.432, 8.829, 8.000, 23.0, 72, 250, 863, 16, 21, 74, 8, 236
12;48;22, 0.353, -0.275, 10.516, 8.000, 23.0, 72, 250, 851, 15, 21, 74, 8, 233
12;48;24, 1.648, -0.039, 9.771, 7.000, 23.0, 72, 250, 852, 14, 21, 74, 8, 232
12;48;26, 0.981, 0.392, 9.928, 8.000, 23.0, 72, 250, 860, 14, 21, 74, 9, 234
12;48;29, 0.589, 0.157, 10.045, 8.000, 24.0, 72, 250, 843, 13, 21, 74, 8, 233
12;48;31, 0.157, 0.118, 10.320, 7.000, 23.0, 72, 250, 848, 13, 21, 74, 8, 231
12;48;33, 0.942, 0.078, 9.771, 8.000, 25.0, 72, 250, 831, 12, 21, 74, 8, 234
12;48;36, 1.020, 0.589, 9.182, 8.000, 23.0, 73, 250, 852, 10, 21, 74, 8, 230
12;48;38, 1.452, 0.078, 10.399, 7.000, 24.0, 73, 250, 841, 9, 21, 74, 8, 230
12;48;40, 1.648, 0.157, 10.556, 8.000, 25.0, 73, 250, 843, 8, 21, 74, 8, 233
12;48;43, 0.942, 0.314, 9.810, 7.000, 23.0, 73, 250, 851, 6, 21, 74, 8, 233
12;48;45, 0.510, 0.471, 9.653, 8.000, 23.0, 73, 250, 847, 5, 21, 74, 8, 234
12;48;47, 1.138, 0.157, 9.418, 8.000, 24.0, 73, 250, 850, 5, 21, 74, 9, 234
12;48;50, 0.628, 0.196, 10.281, 8.000, 23.0, 73, 250, 852, 4, 21, 74, 8, 233
12;48;52, 0.314, 0.471, 9.692, 8.000, 47.0, 73, 250, 831, 5, 21, 74, 8, 267
12;48;54, 0.471, 0.549, 10.163, 8.000, 26.0, 73, 250, 1104, 9, 21, 74, 8, 236
12;48;56, 0.824, 0.314, 10.516, 8.000, 25.0, 73, 250, 851, 7, 21, 74, 8, 231
12;48;59, 0.785, 0.078, 9.457, 8.000, 24.0, 73, 250, 845, 4, 21, 74, 8, 234
12;49;01, 0.942, 0.549, 9.143, 7.000, 23.0, 73, 250, 769, 0, 21, 74, 7, 221
