Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;40;09, 0.078, -0.589, 9.418, 5.000, 0.31, 52, 250, 852, 21, 18, 0, 8, 232
06;40;11, 0.039, -0.903, 10.045, 4.000, 0.31, 52, 250, 843, 17, 18, 0, 7, 232
06;40;14, -0.432, 0.039, 9.810, 4.000, 0.30, 52, 250, 847, 12, 18, 0, 8, 228
06;40;16, 0.471, -1.099, 9.810, 5.000, 0.30, 52, 250, 864, 8, 18, 0, 8, 235
06;40;18, 0.000, -0.628, 9.967, 3.000, 0.32, 52, 250, 853, 1, 18, 0, 8, 227
06;40;21, -0.275, 0.039, 9.025, 4.000, 0.33, 53, 250, 754, 0, 18, 0, 6, 223
06;40;23, -0.118, -0.235, 10.202, 5.000, 0.33, 53, 250, 750, 0, 18, 0, 6, 224
06;40;25, -0.275, 0.039, 9.300, 4.000, 0.32, 53, 250, 750, 0, 18, 0, 7, 222
06;40;28, -0.235, -0.078, 10.477, 5.000, 0.33, 53, 250, 745, 0, 18, 0, 7, 224
06;40;30, -0.314, 0.785, 9.732, 6.000, 0.47, 53, 250, 1633, 1, 19, 0, 14, 441
06;40;32, -0.981, 1.099, 10.673, 4.000, 0.58, 53, 250, 1843, 15, 19, 0, 29, 311
06;40;35, 0.314, 0.589, 9.261, 4.000, 0.54, 53, 250, 1285, 19, 19, 0, 15, 546
06;40;37, -1.334, 1.609, 8.711, 5.000, 0.73, 53, 250, 1713, 27, 18, 0, 27, 826
06;40;39, 0.549, 0.196, 10.909, 5.000, 0.39, 53, 250, 929, 33, 18, 0, 14, 421
06;40;41, -0.392, 0.706, 10.516, 6.000, 0.78, 53, 250, 1467, 37, 19, 0, 21, 778
06;40;44, -0.196, 0.589, 11.026, 4.000, 0.80, 54, 250, 1764, 44, 18, 0, 14, 241
06;40;46, 0.275, 0.785, 8.554, 3.000, 0.47, 54, 250, 1256, 44, 18, 0, 15, 453
06;40;48, -1.491, 0.432, 10.320, 4.000, 0.57, 54, 250, 1342, 46, 18, 0, 15, 372
06;40;51, -2.080, -1.334, 8.711, 6.000, 0.34, 54, 250, 1338, 47, 18, 0, 15, 356
06;40;53, -1.059, -0.118, 8.633, 5.000, 0.29, 54, 250, 1317, 46, 18, 0, 15, 338
06;40;55, -0.157, -0.353, 10.791, 5.000, 0.27, 55, 250, 1276, 45, 18, 0, 14, 337
06;40;58, -0.196, -0.628, 9.614, 4.000, 0.00, 55, 250, 1247, 43, 18, 0, 13, 231
06;41;00, -0.039, -0.157, 10.673, 5.000, 0.00, 55, 250, 1148, 40, 18, 0, 12, 227
06;41;02, 0.549, -1.020, 9.967, 4.000, 0.27, 56, 250, 968, 34, 18, 0, 8, 240
06;41;05, 0.942, -1.844, 10.359, 5.000, 0.29, 56, 250, 852, 20, 18, 0, 8, 234
